id,label,type,summary
Character:Varin Lume,Varin Lume,Character,"Calm, relentless keeper of records"
Character:Thorik Gravelbrow,Thorik Gravelbrow,Character,"Stoic, stubborn, curious about runes"
Character:Arielle Skydancer,Arielle Skydancer,Character,"Wary, swift, loyal"
Character:Noctar Vesper,Noctar Vesper,Character,"Shadowy, patient, treacherous"
Character:Lyra Quill,Lyra Quill,Character,"Curious, meticulous"
Character:Brakus Ironjaw,Brakus Ironjaw,Character,"Direct, ambitious"
Character:Anya Stonehand,Anya Stonehand,Character,Stern. Pragmatic.
Character:Lysandra,Lysandra,Character,Wise. Aloof.
Character:Kaelen,Kaelen,Character,Greedy. Ruthless.
Character:Elara Meadowlight,Elara Meadowlight,Character,Gentle. Protective.
Character:Torvin,Torvin,Character,Shrewd. Persuasive.
Character:Zaltar,Zaltar,Character,Fanatical. Deceptive.
Character:Kael Vorn,Kael Vorn,Character,"Bitter, precise, secretly hoards stolen years"
Character:Syln,Syln,Character,"Ruthless, laughs at drowning enemies"
Character:Grandcarver Oth,Grandcarver Oth,Character,"Patient, unbending, speaks only truth"
Character:Null,Null,Character,"Curious, mimics emotions poorly"
Character:Verra Cinder,Verra Cinder,Character,"Desperate, paranoid, seeking immortality"
Character:Brek-of-Three-Depths,Brek-of-Three-Depths,Character,"Melancholy, creates living statues"
Location:Lumeris,Lumeris,Location,"Glass-spired city with luminous canals, bustling traders"
Location:Whispering Forest,Whispering Forest,Location,"Murmuring trees hide hidden glades, secrets rustle"
Location:Cinder Spire,Cinder Spire,Location,"Furnace-heart range, forges and iron veins"
Location:Sea of Glass,Sea of Glass,Location,Tide of mirrored surface; haunted ships drift
Location:Silverpeak Mountains,Silverpeak Mountains,Location,Rich in ore. Home of dwarves.
Location:Eldrin Forest,Eldrin Forest,Location,Ancient trees. Sylvan home.
Location:Aethelburg,Aethelburg,Location,Capital. Center of trade.
Location:Void Rift,Void Rift,Location,Site of magic corruption.
Location:Threnod,Threnod,Location,"Ash-choked capital, perpetual gray, pyramids of dead, smoke vents everywhere"
Location:The Sour Deeps,The Sour Deeps,Location,"Acid ocean, no fish live, only driftkin ships float, corrosive fog"
Location:Oth-Mora,Oth-Mora,Location,"Veinrock judicial city, carved in prime granite, silence enforced by law"
